entity_id,name,link,scraped_at,job_levels,job_levels_raw,languages,languages_raw,duration,duration_raw,status,remote,adaptive,description,keys
3778,Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,2026-05-08T10:43:13.300957+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",20 minutes,Approximate Completion Time in minutes = 20,ok,yes,yes,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",['Knowledge & Skills']
4069,Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,2026-05-08T10:43:21.526635+00:00,"['Graduate', 'Mid-Professional', 'Professional Individual Contributor']","Graduate, Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",10 minutes,Approximate Completion Time in minutes = 10,ok,yes,no,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",['Knowledge & Skills']
4004,Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,2026-05-08T10:43:27.704593+00:00,"['Graduate', 'Mid-Professional', 'Professional Individual Contributor']","Graduate, Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",10 minutes,Approximate Completion Time in minutes = 10,ok,yes,no,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",['Knowledge & Skills']
4223,Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,2026-05-08T10:43:35.218571+00:00,['Graduate'],"Graduate,",['English (USA)'],"English (USA),",7 minutes,Approximate Completion Time in minutes = 7 minutes,ok,yes,no,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",['Knowledge & Skills']
4159,Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,2026-05-08T10:43:41.269701+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",13 minutes,Approximate Completion Time in minutes = 13,ok,yes,no,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",['Knowledge & Skills']
4311,AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,2026-05-08T10:43:51.702137+00:00,['General Population'],"General Population,",['English (USA)'],"English (USA),",16 minutes,Approximate Completion Time in minutes = 16,ok,yes,no,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,['Personality & Behavior']
4028,Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,2026-05-08T10:43:58.111884+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",6 minutes,Approximate Completion Time in minutes = 6,ok,yes,no,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",['Knowledge & Skills']
4160,Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,2026-05-08T10:44:04.732109+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",7 minutes,Approximate Completion Time in minutes = 7,ok,yes,no,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",['Knowledge & Skills']
4153,Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,2026-05-08T10:44:15.821284+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",11 minutes,Approximate Completion Time in minutes = 11,ok,yes,no,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",['Knowledge & Skills']
4021,AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,2026-05-08T10:44:15.921835+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",9 minutes,Approximate Completion Time in minutes = 9,ok,yes,no,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",['Knowledge & Skills']
